clip_id,folder,new_object,agent_service_config,is_valid
c-fa38e11c-d205-33f1-b8c0-b89fb9fe35bf,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-fa26c07f-9fc8-39a7-a7d1-a860761f6561,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-5b192864-7e2a-3f53-9ac3-79a199e37a9f,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-f96a065d-608f-35b3-a813-c79cab62ff47,trained_model_v231_v231_1347,SUV,cut_in_left,FALSE
c-4c3b1a99-f06b-337b-b572-35c1be1abf32,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_right,TRUE
c-f760f5f3-78da-3743-a95e-c2a1fd9f28e2,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_right,TRUE
c-d835ab20-6e5f-3a77-a711-dc69e1837b3b,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-87e23b93-5cb1-358a-80da-94602a8b5aa6,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-f9680e35-bfe0-3957-acac-95770506b408,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-fa077f2c-ed54-3cf3-834a-2de2f503a0d5,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-fa3c5bf9-8a84-3051-ab61-864405b6aced,trained_model_v231_v231_1347,SUV,cut_in_right,TRUE
c-f7bd15c9-6ef6-3064-a6e1-35a54c9e3d59,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-f780f953-3747-3633-96c0-1da8fcedcb17,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-f62191c5-8ad7-31ac-8f31-d48377f69655,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-f94f342a-3d22-314f-ba45-2d0151a8cb58,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-f9888ec8-e5f0-3c24-9948-1afa8736de83,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-fa0edb84-7324-39b2-bbed-8a103023ac9d,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-f810d5b1-1046-3c06-a2e6-74e8be823811,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,TRUE
c-f97c71a3-b492-3a37-aa31-7cfff2f06b4f,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-f9b98c61-edd4-36b4-a481-9fdf15f164ec,trained_model_v231_v231_1347,SUV,cut_in_left,TRUE
c-f9c83e51-5647-3d68-b11e-24a0d579ec23,trained_model_v231_v231_1347,SUV,cut_in_left,FALSE
